route_num,video_name,window_idx,window_start_sec,window_end_sec,building_coverage,building_oppression,green_coverage,openness_index,road_coverage,sidewalk_coverage,sky_visibility,wall_fence_coverage
1,CUT 3,30,30.0,33.0,0.1725742669753086,0.0903683539598267,0.0439684606481481,0.496826774691358,0.4162495177469136,0.0310597511574074,0.2405883487654321,0.0070736882716049
1,CUT 3,31,31.0,34.0,0.1756643036265432,0.0901870072209965,0.0349430941358024,0.4969033725565843,0.4213724922839506,0.0284112172067901,0.2405883487654321,0.0079468074845679
1,CUT 3,32,32.0,35.0,0.1709119405864197,0.0833253261882064,0.0366042148919753,0.5055694605195473,0.4195348668981481,0.0273413387345679,0.2730102237654321,0.0072017264660493
1,CUT 3,33,33.0,35.5,0.1617975983796296,0.0803228208070082,0.0394644579475308,0.5104061374742799,0.3993588445216049,0.0261031539351851,0.2984854841820987,0.0072017264660493
1,CUT 3,34,34.0,35.5,0.1472371720679012,0.0801879754031035,0.0434847608024691,0.5192529899691358,0.3996272183641975,0.0258895158179012,0.3047186053240741,0.0072656249999999
1,CUT 3,35,35.0,35.5,0.1360209297839506,0.0691509257683342,0.0440897472993827,0.5247497910236626,0.3863683931327161,0.0242698688271604,0.3215617766203703,0.0072996238425925
1,CUT 4,0,0.0,3.0,0.205684799382716,0.109445717786928,0.0287302276234567,0.4861840920781893,0.4700725790895061,0.0143060378086419,0.1937005690586419,0.0081876929012345
1,CUT 4,1,1.0,4.0,0.2176268325617284,0.1167926230810305,0.0281421199845679,0.4579847447273663,0.4031532118055555,0.0137254050925925,0.1965299479166666,0.0079200424382716
1,CUT 4,2,2.0,5.0,0.2414566454475308,0.1346717406263258,0.0226386477623456,0.4447989808384773,0.3776215277777778,0.0133046392746913,0.1978771219135802,0.0065842013888888
1,CUT 4,3,3.0,6.0,0.2296098572530864,0.1207159009291654,0.0203730227623456,0.4544786844135803,0.3660199652777778,0.0138184799382716,0.2384126639660493,0.0031025752314814
1,CUT 4,4,4.0,7.0,0.2220794753086419,0.1079255622444129,0.0182622010030864,0.4706937210648148,0.3429393325617283,0.0134227912808641,0.2956134259259259,0.0018152006172839
1,CUT 4,5,5.0,8.0,0.2202105034722222,0.1045930359854868,0.0153308256172839,0.4758638760288066,0.3304070216049383,0.0127703028549382,0.3071571180555555,0.0017377989969135
1,CUT 4,6,6.0,9.0,0.228559268904321,0.1052187773772861,0.0080034722222222,0.4659935217335391,0.3393139949845679,0.0088102816358024,0.2916755883487654,0.0036308834876543
1,CUT 4,7,7.0,10.0,0.2514547164351852,0.1298329013778441,0.0002261766975308,0.4527922453703704,0.404053337191358,0.0084242380401234,0.2025573881172839,0.0037058738425925
1,CUT 4,8,8.0,11.0,0.2647974537037036,0.1430465008917255,0.0001345486111111,0.4507302919238684,0.4228749517746913,0.0093689718364197,0.1855126350308641,0.0024440586419753
1,CUT 4,9,9.0,12.0,0.2496805073302469,0.13502484542539,0.0013281249999999,0.4596074459876542,0.4270165412808642,0.0110665027006172,0.1908422550154321,0.0026936246141975
1,CUT 4,10,10.0,13.0,0.2365222318672839,0.1205609558309016,0.001363811728395,0.469460117669753,0.4192443094135802,0.0141736593364197,0.2200060281635802,0.0052529417438271
1,CUT 4,11,11.0,14.0,0.2275043402777777,0.1098838237572448,0.0002903163580246,0.4721858924897119,0.3657392939814815,0.0172547743055555,0.2717238136574074,0.0055931712962962
1,CUT 4,12,12.0,15.0,0.2220707947530864,0.1063600116737243,0.0001439525462962,0.4649973476080247,0.3398763020833333,0.0213208912037037,0.2852326871141976,0.0038903356481481
1,CUT 4,13,13.0,16.0,0.2236496913580247,0.107570624688108,0.000172405478395,0.4662688078703704,0.3223881172839506,0.0222429591049382,0.2956828703703703,0.00248046875
1,CUT 4,14,14.0,17.0,0.2294458912037037,0.1128925479128142,0.0050390625,0.4657913773148148,0.3242047646604938,0.0196788194444444,0.3072680362654321,0.0040174093364197
1,CUT 4,15,15.0,18.0,0.235558449074074,0.1147558381405485,0.0097569444444444,0.4709626575360082,0.3332853491512345,0.0171952160493827,0.3192233314043209,0.0044010416666666
1,CUT 4,16,16.0,19.0,0.236822193287037,0.1165857043219888,0.0109150752314814,0.4711495306069959,0.3228990644290123,0.015202305169753,0.327716049382716,0.0046506076388888
1,CUT 4,17,17.0,20.0,0.2280869020061728,0.107033577756757,0.0098213252314814,0.4742659304269547,0.3184613715277777,0.0138548900462962,0.337896412037037,0.0032412229938271
1,CUT 4,18,18.0,21.0,0.210187355324074,0.0982092603274326,0.0090287422839506,0.4810488200874485,0.3229612750771605,0.0128342013888888,0.3415019772376543,0.0016572627314814
1,CUT 4,19,19.0,22.0,0.1863659818672839,0.0903025160817824,0.0095867091049382,0.4966489036779835,0.3407691936728395,0.0121648341049382,0.3378650655864197,0.0005832851080246
1,CUT 4,20,20.0,23.0,0.1751154996141975,0.087271433511345,0.0109903067129629,0.5071559124228395,0.346841724537037,0.0099168113425925,0.3432798032407407,0.0008574459876543
1,CUT 4,21,21.0,24.0,0.1717715567129629,0.0884498644270448,0.0104091917438271,0.5129122460133745,0.3497629726080247,0.0099254918981481,0.3538589891975309,0.0033885513117283
1,CUT 4,22,22.0,25.0,0.1669943576388889,0.0879156080137688,0.0083649209104938,0.5188712866512346,0.3508837287808642,0.0106597222222222,0.3709442515432098,0.0043962191358024
1,CUT 4,23,23.0,26.0,0.1637726658950617,0.0881902446799191,0.0077572820216049,0.5212500803755145,0.3649828800154321,0.0108101851851851,0.3727835648148148,0.0042522665895061
1,CUT 4,24,24.0,27.0,0.1604103973765432,0.0847179822211687,0.0073143325617283,0.525274643132716,0.3839595389660494,0.0101548032407407,0.3591553337191357,0.0035042920524691
1,CUT 4,25,25.0,28.0,0.1601048900462963,0.0842859235693107,0.0067392457561728,0.5227988361625514,0.3815646701388889,0.0096469907407407,0.344460117669753,0.0050137442129629
1,CUT 4,26,26.0,29.0,0.1618291859567901,0.0840336814730187,0.0053771219135802,0.5194422743055556,0.3658458719135802,0.0098080632716049,0.346221305941358,0.0037789351851851
1,CUT 4,27,27.0,30.0,0.1642563657407407,0.0858494112337505,0.0051451581790123,0.5177872620884774,0.3435042920524691,0.0098948688271604,0.3646081693672839,0.0035308159722222
1,CUT 4,28,28.0,31.0,0.1641054205246913,0.0867535605107447,0.0048500192901234,0.5184812242798353,0.3381835937499999,0.0094085165895061,0.3762692901234568,0.0034051890432098
1,CUT 4,29,29.0,32.0,0.1621655574845679,0.0865421500397241,0.0049522569444444,0.519492589377572,0.3447501929012345,0.0098080632716049,0.3646973861882716,0.0035296103395061
1,CUT 4,30,30.0,33.0,0.1645768229166666,0.0866026441299171,0.004835792824074,0.5173443930041153,0.3571824363425926,0.0106172839506172,0.3571344521604938,0.0027346161265432
1,CUT 4,31,31.0,34.0,0.1704099151234568,0.0857787984610125,0.0047152295524691,0.5113736979166668,0.3579800829475308,0.0107274787808641,0.3487114197530864,0.0021959394290123
1,CUT 4,32,32.0,35.0,0.1704494598765432,0.081890556891319,0.0042127218364197,0.509521685313786,0.3416345968364197,0.0101121238425925,0.3532195216049383,0.0021477141203703
1,CUT 4,33,33.0,36.0,0.1654644097222222,0.079271696206783,0.0040075231481481,0.5064632362397119,0.3304226948302469,0.0094902584876543,0.3535308159722222,0.0022996238425925
1,CUT 4,34,34.0,36.133,0.1618152006172839,0.0767465296633319,0.0041015625,0.5086733217592593,0.3280261381172839,0.0094502314814814,0.359996624228395,0.0023355516975308
1,CUT 4,35,35.0,36.133,0.1581766010802469,0.0793572674930441,0.0066025270061728,0.5064448302469136,0.3316097608024691,0.009170524691358,0.3476205632716049,0.002457561728395
1,CUT 4,36,36.0,36.133,0.1520601851851852,0.0792488845780298,0.0082335069444444,0.5124085326646091,0.3143643904320987,0.009113136574074,0.3766034915123457,0.0026133294753086
1,CUT 5,0,0.0,3.0,0.16999469521604937,0.08859197815241446,0.00470606674382716,0.5071578414351852,0.33547236689814813,0.009209587191358025,0.3523172260802469,0.0021062403549382716
1,CUT 5,1,1.0,4.0,0.17289424189814817,0.08966869086166368,0.003907696759259259,0.5051605902777778,0.34436342592592595,0.010893614969135802,0.3484249614197531,0.003550829475308642
1,CUT 5,2,2.0,5.0,0.18577329282407407,0.08842352520079941,0.003003472222222222,0.5000946019804526,0.339417438271605,0.013220727237654321,0.3465842013888889,0.003997154706790123
1,CUT 5,3,3.0,6.0,0.18491922260802468,0.08303525961882388,0.002869888117283951,0.4995263470936214,0.3382566550925926,0.01379002700617284,0.3454894868827161,0.003835358796296296
