route_num,video_name,window_idx,window_start_sec,window_end_sec,car_count,cyclist_motorcycle_count,dynamic_object_area_ratio,large_vehicle_ratio,person_count,total_object_count,traffic_sign_count,truck_bus_count,car_speed_mean,car_accel_mean,car_jerk_mean,person_speed_mean,cyclist_speed_mean,pedestrian_crossing_count,min_ttc,risk_count
2,CUT 2,5,5.0,8.0,2.5,0.0,0.0012545500199,0.0,0.0,2.5,0.0,0.0,9.85738919360946,323.6706754405738,6224.837354114282,,,0,,0
2,CUT 2,6,6.0,9.0,3.0,0.0,0.0012448761198255,0.0,0.0,3.0,0.0,0.0,10.417386271911807,303.43288470529825,6063.87330171447,,,0,,0
2,CUT 2,7,7.0,10.0,3.0,0.0,0.0012415500481923,0.0,0.0,3.0,0.0,0.0,9.477926559492737,296.1326080254474,6036.756014672164,,,0,13.943266533507645,0
2,CUT 2,8,8.0,11.0,3.0,0.0,0.0012683907482359,0.0,0.0,3.0,0.0,0.0,7.163315431807721,252.8277434397112,4597.456693628611,,,0,1.195938735053959,1
2,CUT 2,9,9.0,12.0,3.0,0.0,0.0015713752640618,0.0,0.0,3.0,0.0,0.0,6.744562042952833,210.9136579004722,4785.459606264053,,,0,5.126309915050334,0
2,CUT 2,10,10.0,13.0,3.0,0.0,0.0017061881886588,0.0,0.0,3.0,0.0,0.0,9.889955604872862,284.25792486230915,6952.004861946855,,,0,4.008642788222504,0
2,CUT 2,11,11.0,14.0,3.0,0.0,0.0021625138653649,0.0,0.0,3.0,0.0,0.0,9.954949889961712,303.7866146526727,7327.300776055535,,,0,3.867954066853033,0
2,CUT 2,12,12.0,15.0,2.0,0.0,0.0041536781522962,0.0,0.0,2.0,1.0,0.0,12.30071578398357,356.6907662576403,8735.391993957268,,,0,4.282363286980245,0
2,CUT 2,13,13.0,16.0,3.0,0.0,0.0049702784750196,0.0,0.0,3.0,1.0,0.0,9.684018844134457,280.8366428487047,6484.62974149128,,,0,6.297505082376446,0
2,CUT 2,14,14.0,17.0,3.0,0.0,0.005640189912584,0.0,0.0,3.0,1.0,0.0,13.25930752126302,363.1919467222708,8387.122786623388,,,0,4.9421930130178175,0
2,CUT 2,15,15.0,18.0,3.0,0.0,0.0074541783332824,0.0,0.0,3.0,1.0,0.0,20.59285313377742,495.9601569167074,11779.634616464136,,,0,3.7218601114478806,0
2,CUT 2,16,16.0,19.0,3.0,0.0,0.0092899290720621,0.0,0.0,3.0,1.0,0.0,26.28910486161688,639.1716703174482,15903.990685496696,,,0,2.826465674264388,1
2,CUT 2,17,17.0,20.0,2.0,0.0,0.0030655961566501,0.0,0.0,2.0,1.0,0.0,31.02202342034997,731.2224173749273,18209.517668114087,,,0,2.1617352204911224,1
